trailname,island,district,length_mi,elev_range,start_pt,end_pt,standard,climate,amenities,longitude,latitude
Aihualama Trail,Oahu,Honolulu,1.29999995,1200,Manoa Falls Trail,Pauoa Flats-reservoir overlook,Easy,"Mild, Wet",Parking,-157.7997,21.3414
Alakai Swamp Trail,Kauai,Waimea,3.5,329,3.2 mi on Mohihi-Camp 10 Road,Kilohana on Wainiha Pali,Difficult,"Cold, Wet","Parking, Shelter, Tables, Toilets",-159.6113889,22.1502778
Awaawapuhi Trail,Kauai,"Hanalei, Waimea",3.0999999,1180,"17.0 mi on Hwy 550, Kokee SP",2200-foot elev. on Awaawapuhi Ridge,Difficult,Mild,None,-159.6708333,22.1527778
Boundary Trail,Maui,Makawao,4.4000001,1220,Ranger cabin,Cattle guard on Polipoli Road,Moderate,Cold,Shelter,-156.2981,20.7165
Haleakala Ridge Trail,Maui,Makawao,1.60000002,850,Skyline switchback,Forest Reserve boundary shelter,Moderate,Cold,Shelter,-156.173325,20.701283
Hauula Loop Trail,Oahu,Koolauloa,2.5,700,End of Maakua Road,Same as start,Easy,"Mild, Wet","Bench, Camp, Parking, Shelter",-157.9153,21.6096
Hoapili Trail,Maui,"Makawao, Hana",12.5,200,La Perouse Bay (4WD & Trail split),Kanaio Beach,Difficult,Hot,None,-156.4134,20.5938
Humuula Trail,Hawaii,North Hilo,5.5,3240,Hilo Frst Rsv 0.16 mi E Kaula Gulch,Keanakolu Humuula Ahpa,Difficult,"Mild, Cold",Cabins,-155.3208333,19.9408333
Iliau Nature Loop,Kauai,Waimea,0.30000001,40,"8.7 mi on Hwy 550, Waimea Can. SP",Same as start,Easy,Mild,"Parking, Shelters, Tables",-159.66,22.0516
Kalawahine Trail,Oahu,Honolulu,1.5,200,Round Top Drive,Tantalus Drive,Easy,"Mild, Wet","Parking, Bench, Bridge",-157.8214,21.3306
